query,most_similar_sentence,query_content,sentence_content,jaccard_index
0,0,艺术奥科学肥固科学的责任是在按看论理去殉理经验的事实,妥固艺术文集艺术与科学科学的责任是在按照论理去整理经验的事实,0.6428571428571429
1,1,"以科学的方法去研究美与艺术,期美学与艺术学当然成剖的了",以科学的方法去研究美与艺术则美学与艺术学当然成立的了,0.7727272727272727
2,18,"科学的分类历来不一,据最近Rickert的主张凡以为自然科学与阎化科学,二考在质料上形式上都是根本对立的,由们的方法因而不同","这种分析在文化科学的方法上去努力,原是正道,然而唐钱氏却以为可以用自然科学一一论理或狭义的科学一的方法去分析",0.2361111111111111
3,3,"所谓自然科学是用普过化Generalisation的方法,萄去异质的东西,聚集同质的东西,在普融的法则上用工夫的","据最近Rickert的主张,以为自然科学与文化科学,二者在质料上形式上都是根本对立的它们的方法因而不同一一所谓自然科学是用普遍化Generalisation的方法别去异质的东西,聚集同质的东西在普遍的法则上用工夫的文化科学则不然除去同质的东西搜集附有价值的异质的东西用个别化Individualisation的方法在特殊的法则一一只一回的发见一一上用工夫的美学与艺术学是哲学的科学哲学是归类于文化科学的,那末研究美学艺术学应该用文化科学的方法",0.37
4,3,"交化科学则不然,除法同质的东西,搜焦附有价值的异质的东西,用个别化Imdividualisation的意法在特殊的法则一一只一同的发见一一用工夫的","据最近Rickert的主张,以为自然科学与文化科学,二者在质料上形式上都是根本对立的它们的方法因而不同一一所谓自然科学是用普遍化Generalisation的方法别去异质的东西,聚集同质的东西在普遍的法则上用工夫的文化科学则不然除去同质的东西搜集附有价值的异质的东西用个别化Individualisation的方法在特殊的法则一一只一回的发见一一上用工夫的美学与艺术学是哲学的科学哲学是归类于文化科学的,那末研究美学艺术学应该用文化科学的方法",0.42574257425742573
5,30,"美学与艺术学是暂学的科学,析学是归类于六化科学的,愤未研究美学艺术学应该用交化科学的方法,这是显而易见","这样看来所得的结论,无能谓美学与艺术学,均不归宿于科学而归宿于哲学,美学与艺术学离不了哲学的范围而唐氏已在这里运用普遍的法则未免发达得太迅速了",0.234375
6,5,"在色成的艺术品之下用科学方法去研究,或对临术创作的心理用科学方法法一研究",在既成的艺术品之下用科学方法去研究或对艺术创作的心理用科学方法去研究它的能力所及只限于合理的部分以外它的能力就不够了,0.5
7,35,外钓能力所及只限于合理的融分,画家的配色下笔多少是可以分析的,0.07692307692307693
8,20,以外由八能力就不够了,线韵调等不是美然而作某种的组织就生出美来,0.07407407407407407
9,6,"若艺础家剑作时根据科学的方法,从这齐产出的作品,决不是晨的艺术品","若艺术家创作时根据科学的方法,从这里产出的作品决不是真的艺术品",0.7586206896551724
10,7,"近来偶读人生观之论战,见更钱氏对梁启超氏的钾了附而音这一个问题",近来偶读人生观之论战见唐钱氏对梁启超氏的辨难附带着这一个问题,0.6857142857142857
11,8,梁氏说关于威说情方面的事项,梁氏说关于感情方面的事项绝对的超科学,0.6111111111111112
12,0,绝对的超科学,妥固艺术文集艺术与科学科学的责任是在按照论理去整理经验的事实,0.1111111111111111
13,9,"这句话本是不能通岗,当以范寿康民的修正肉为妥当",这句话本是不能通过当以范寿康氏的修正案为妥当,0.72
14,10,"唐民认为决不是超科学的哗然诚然,但是梁氏在威情中举出美的间题谓是超科学的这才并非无理","唐氏认为决不是超科学的诚然诚然但是梁氏在感情中举出美的问题,谓是超科学的,这却并非无理不但并非无理并且是合理的话",0.725
15,50,不旬振莫无理,"这种动作就是创造,是个性的创造",0.0
16,4,并且是合理的话,一一这是显而易见的,0.15384615384615385
17,27,"这也不是梁氏一人的私言美国学者小MBaldwin着发生的实在论,其中他的美学说国做泛美论Panealism,他以为我们和接事物可分三种适当的有形式,乃是心的态度上之特征这三竹也可说大体代表人文发展的三种阶段",其后Dessoir谓美的并非艺术的艺术的目的并非美美不但现于艺术尚弥漫于人事宇宙的全部美学的研究是不关艺术的其详见彼所著AesthetikundKunstwissenscha太,0.13513513513513514
18,36,这三种就是神秘的Mygtieal,"唐锋的所谓美术品大约指LogicalStage上的美术品,这也对的",0.23529411764705882
19,4,论理的Logieal美的Aesthetie,一一这是显而易见的,0.045454545454545456
20,14,"这三种进而成先论理的阶眉Prelogiealstage,论理的阶鹏Logicalstage,超谕理的阶段Hyperlogicalstage见GenetieTheoryofRealityP39",这三种进而成先论理的阶段PrelogicalStage论理的阶段LogicalStage超论理的阶段HyperlogicalStage见GenticTheoryofRealityP39,0.8571428571428571
21,15,在这虚Baldwin也认美的是超论理的,在这里Baldwin也认美的是超论理的,0.8947368421052632
22,16,所谓超论理狼就时超论证的Hyperdiseursivey超推谕的了Hypertheoretieal超科举移了Hyberseient放ie,"所谓超论理的就是超论证的Hyperdiscursive超推论的Hypertheoretical超科学的Hyperscientific并不是反论理的Antilogical也不是无论理的Alogical,只是论理或狭义的科学的范围所包含不住的罢了",0.48214285714285715
23,40,"并不是反论理的Antilogieal,也不是找谂理的Alogieal只是论理或锋例的科学的矣围所包合不住的家了","剧作家将灵魂的传记,感情与事体之活的织物,捧在我们的面前也只一次发现决不会再起的",0.09375
24,17,"美是可以分析的,美术品也是可以分析的,这是美学艺术学早已明诏我们的了",美是可以分析的美术品也是可以分析的这是美学艺术学早已明诏我们的了,0.9523809523809523
25,18,"疾种分析在文化科学的方法上法努力,原是正道","这种分析在文化科学的方法上去努力,原是正道,然而唐钱氏却以为可以用自然科学一一论理或狭义的科学一的方法去分析",0.48717948717948717
26,19,"然而赴铁铺却以为可以用自然科学一一论理或狭义的科学一的方法去分析,他虽不人明言,但他说二份轻气一份义气也不是水,但是在菜条件之上,人台起来才会鳞出水来",他虽不曾明言但他说二份轻气一份氧气也不是水但是在某条件之下合起来却会变出水来,0.4
27,20,"线光爸调等不是美,然而作某他的有组织,就生出美来",线韵调等不是美然而作某种的组织就生出美来,0.7083333333333334
28,21,这都是一样的道理,这都是一样的道理,1.0
29,22,从这里看来,"从这里看来,他的信条如此",0.4166666666666667
30,4,他的倍条如中,一一这是显而易见的,0.07692307692307693
31,23,"唐氏认美学幼稚忽而发达到这样困电,是我所怀疑的地方","唐氏认美学幼稚忽而发达到这样田地,这是我所怀疑的地方",0.8846153846153846
32,6,美与艺术研究的方法,"若艺术家创作时根据科学的方法,从这里产出的作品决不是真的艺术品",0.1724137931034483
33,24,"Lange主张替学的方法与科学的方法相对立耐,Grosse主张艺术学自美学中跳出用科学的方法研究","美与艺术研究的方法,一一Lange主张哲学的方法与科学的方法相对立而Grosse主张艺术学自美学中跳出,用科学的方法研究,这就是他的人种学的方法EthnologischeMethode",0.62
34,24,这就是他的人下学的方法EthnologiseheMethode,"美与艺术研究的方法,一一Lange主张哲学的方法与科学的方法相对立而Grosse主张艺术学自美学中跳出,用科学的方法研究,这就是他的人种学的方法EthnologischeMethode",0.42857142857142855
35,1,讪人的意见以为美学就是共术学,以科学的方法去研究美与艺术则美学与艺术学当然成立的了,0.18518518518518517
36,25,"其计见LangeDasWesenDerKunstGrosseDieAnfangederKunst中残elDerKunstwissengehaft,及Kunstwissenseha地Studien中AufgabenDerKunstwissensehaft,其间Fiedler又谓美的与艺术的全无关系美学自美学,艺两学自艺术学",两人的意见以为美学就是艺术学其详见LangeDasWesenDerKunsbtGrosseDieAnfangederKunst中ZielDerKunstwissenschaft及KunstwissenschaftStudien中AufgabenDerKunstwissenschaft,0.5892857142857143
37,27,"其详见彼所若_SchriftenueberKunst,其后Dessoir前美的并非艺术的革术的目的并非美,美不但现于艺术,贷弥漫于人事宇宙的全部,美学的研究是不开艺向的其详见彼所著AesthetikundKunstwis8en8eha抱哮家的议论只是界限上的争论,方法上多认为应归于科学的",其后Dessoir谓美的并非艺术的艺术的目的并非美美不但现于艺术尚弥漫于人事宇宙的全部美学的研究是不关艺术的其详见彼所著AesthetikundKunstwissenscha太,0.5802469135802469
38,30,"最近UtE计张艺术学就是艺术白学,美学并非艺术科学,是艺术哲学","这样看来所得的结论,无能谓美学与艺术学,均不归宿于科学而归宿于哲学,美学与艺术学离不了哲学的范围而唐氏已在这里运用普遍的法则未免发达得太迅速了",0.11666666666666667
39,26,"其详见所著GrundlegungDerAlLgemeinenKunstwissengehafto这样看来所得的结论无能谓美学与艺术学,均不归宿于科学而归宿于哲学","其间Fiedler又谓美的与艺术的全无关系美学自美学,艺术学自艺术学其详见徙所著SchriftenUeberKunst",0.4126984126984127
40,1,美学与艺术学雏不了哲学的锦围而唐世已在这在运用普蝉的法则,以科学的方法去研究美与艺术则美学与艺术学当然成立的了,0.2647058823529412
41,50,未免发达得太直速了,"这种动作就是创造,是个性的创造",0.0
42,31,"唐拱论美的分析说我们知道野蛮人同小孩,常常欢喜浓贴凡目的颜色,如深红浓绿等而且不管他们急样配合","唐氏论美的分析说我们知道野变人同小孩,常常欢喜浓艳防目的颜色,如深红浓绿等,而且不管他们怎样配合",0.7872340425531915
43,55,孖于受过陶治的人跨喜欢清征淡远的颜色一一如清兹及浅红淡迈之类一一并且注意他们的配合,所谓自我的主观的就是个性就是人格的统一之世界上的真相到了纯粹的直观才会到这一个地位,0.06557377049180328
44,4,然耐事实并不一针的,一一这是显而易见的,0.13333333333333333
45,32,"原始时代侈缩画有的非常淡远,近代新派画有的非常浓腿近代人的装饰生不废浓丽的","至于受过陶冶的人就喜欢清微痰远的颜色一一如清紫及浅红淡黄之类并且注意他们的配合然而事实并不一律的原始时代的绘画有的非常痰远,近代新派画有的非常浓丽,近代人的装饰也不废浓丽的",0.34375
46,33,"这竹庙浅的普遍法则,恐不是美学上究竟的法则胃航是个别的法则在美学上不过一种手了店,也不是美学上究竟的目的",这种肤浅的普遍法则丽不是美学上究竟的法则罢就是个别的法则在美学上不过一种手段也不是美学上究竟的目的,0.6388888888888888
47,34,"唐民又说美箱品中有很多地方,外人看来以为不可分析的而美术家自己寺以为是可以分析的",唐氏又说美术品中有很多地方外人看来以为不可分析的而美术家自己却以为是可以分析的,0.8235294117647058
48,35,画家的配色下笔多少是可以分析的,画家的配色下笔多少是可以分析的,1.0
49,37,"唐胡的所名美术品大约指LogiealStage上的美术品,这也对的,璧如赘师在学校里数画,依着歌授法请出甸入,配色,医笔的顺序学生照此说行,自然可以分析的","警如教师在学校里教画,依着教授法讲出勾稿配色落笔的顺序,学生照此奉行自然可以分析的",0.4264705882352941
50,38,"伯格森说画家指定了画布,在一定的地点哇日上所见的设色,他决不会再见的","伯格森说画家指定了画布在一定的地点时日上所见的设色,他决不会再见的",0.9310344827586207
51,39,"诗人独自在他的一定情调上歌唱,也决不会机遇的","诗人独自在他的一定情调上歌唱,也决不会再遇的",0.9090909090909091
52,40,"剧作家将灵魂的传记,威情与事体之活的织哆,摊任悯们的面前","剧作家将灵魂的传记,感情与事体之活的织物,捧在我们的面前也只一次发现决不会再起的",0.4878048780487805
53,41,"也只一次发现,决不会再起的见英译LaughterP161在这刹悸阅强赘的美威中,产出的艺术品艺术家自己用何竹方法来分析呢科学说了没有的j","见英译LaughterP161在这刹那间强烈的美感中产出的艺术品,艺术家自己用何种方法来分析呢科学说神没有的",0.6417910447761194
54,50,然而六艺复兴期的画罕,"这种动作就是创造,是个性的创造",0.047619047619047616
55,42,都画出圣母当,"然而文艺复兴期的画家,都画出圣母来",0.29411764705882354
56,47,科学说作交作诗痢有交法的J,"艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.06060606060606061
57,43,"然而音乐的圣人Wagner的歌曲,多不合交法的",科学说作文作诗都有文法的然而音乐的圣人Wagner的歌曲多不合文法的,0.6551724137931034
58,44,"这些艺术品都不受科学的支配,不因此而成为非最高的莽术品","这些艺术品都不受科学的支配,不因此而成为非最高的艺术品",0.9565217391304348
59,45,"印度的影刻是偏重于神的,以使人虚敬礼拜为本位希脏的影刻是偏重于人的",印度的雕刻是偏重于神的以使人虑敬礼拜为本位希腊的雕刻是偏重于人的以使人欣赏享乐为本位,0.6333333333333333
60,56,以使人欣赏享乐为本位,这个地位也可以说是形而上的实在,0.08695652173913043
61,46,才是以同样法则去分析帐们,"若是以同样法则去分析它们,决不会有一致的结果",0.4166666666666667
62,38,次不会有一至的结果,"伯格森说画家指定了画布在一定的地点时日上所见的设色,他决不会再见的",0.12121212121212122
63,47,"艺休批评的标准是随着艺术品而定的,决不能用普逼的法则了事","艺术批评的标准是随着艺术品而定的,决不能用普遍的法则了事",0.8846153846153846
64,48,"一作家有一作综的个性,一国文化有一国交化的特质,这是我们都知道的","一作家有一作家的个性,一国文化有一国文化的特质,这是我们都知道的",0.9090909090909091
65,49,"共术的要溺是一髓动好,并非单单表出受动的威觉,是表出内面的动一一生命就是动一一是表出内面的生命",艺术的要素是一个动字并非单单表出受动的感觉一一是表出内面的动一一生命就是动一一是表出内面的生命,0.6206896551724138
66,50,"这种动作各是创洁,是个性的创革","这种动作就是创造,是个性的创造",0.6666666666666666
67,27,"近代喷谎杞期印象派一几印象派的所谓自然之表面的关系Oberflaeehenzusammenhang,代而为悉的力疙关论LebendigenKriftezusammenhang",其后Dessoir谓美的并非艺术的艺术的目的并非美美不但现于艺术尚弥漫于人事宇宙的全部美学的研究是不关艺术的其详见彼所著AesthetikundKunstwissenscha太,0.18072289156626506
68,51,"到了YanGogh又进耐蚀空间为一个力的有机体DynamiseheOrganismus,莫授的他哆于此中拓其存在万物成了力的象征Kraftesymbolik","近代艺术,后期印象派一变印象派的所谓自然之表面的关系OberflaechenZusammenhang进而为活的力的关系LebendigerKrafteZusammenhang到了VanGogh又进而认空间为一个力的有机体DynamischeOrganismus,一一普通的个物于此中失其存在万物成了力的象征KrafteSymbolik到了Gauguin与Matisse又转而为纯粹的抒情诗将自然精神化了",0.4845360824742268
69,50,"到了Gauguin与Matisse又转而为纯粹豚抒情诗,将自然精祁化了","这种动作就是创造,是个性的创造",0.024390243902439025
70,52,"他们在直接的感情上求物的本质,不但在威情上求,还在威避所起的生动LebendigeAktivitaet上求",他们在直接的感情上求物的本质不但在感情上求还在感情所起的生动LebendigerAktiviraet上求,0.8888888888888888
71,53,"于是有立体派表现派的发生,达到了自我的主观的",于是有立体派表现派的发生达到了自我的主观的,0.9473684210526315
72,54,"这种主观并非慨念的主近,是从直观中生出的主观","这种主观并非概念的主观,是从直观中生出的主观",0.8333333333333334
73,55,"所谓自我的直观的,就是个性,就是人格的统一之世界上的真相到了纯劳的直观,才会到这一个地位这个地位也可以说是形而上的实在",所谓自我的主观的就是个性就是人格的统一之世界上的真相到了纯粹的直观才会到这一个地位,0.7073170731707317
74,4,伯格森论喷术的任务,一一这是显而易见的,0.0625
75,32,"以为实在与我们的中间,有一层幕布艺术将这居幕布搬去,使我们与实在相见e见OPP155总之艺术是个性的自由,人生殴是意志的自由,二者同展是价值的创造是论理的绳墨所量不太的","至于受过陶冶的人就喜欢清微痰远的颜色一一如清紫及浅红淡黄之类并且注意他们的配合然而事实并不一律的原始时代的绘画有的非常痰远,近代新派画有的非常浓丽,近代人的装饰也不废浓丽的",0.09174311926605505
76,59,一九二四一月二下去作于月滑,一九二四年一月二十六日作于月浦,0.4666666666666667
